FILE_NAME=Trajectory_StowToL4.csv,T=0.28,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
6.300000000000000044e-02,2.349872088568829565e-01,-9.917153886724778999e+01,4.444712935501011764e+00,-6.326696633920382062e+00
6.400000000000000133e-02,2.394319217923839560e-01,-9.953403188263105505e+01,4.421753969632489678e+00,-6.510759615981817738e+00
6.500000000000000222e-02,2.438536757620164697e-01,-9.990707093005103445e+01,4.398818089117691343e+00,-6.692847806853989390e+00
6.600000000000000311e-02,2.482524938511341817e-01,-1.002905428623071487e+02,4.375905291663029217e+00,-6.872961224745716358e+00
6.700000000000000400e-02,2.526283991427971665e-01,-1.006843345332421364e+02,4.353015574977223245e+00,-7.051099887668339505e+00
6.800000000000000488e-02,2.569814147177743591e-01,-1.010883327977307005e+02,4.330148936771300860e+00,-7.227263813435727435e+00
6.900000000000000577e-02,2.613115636545456644e-01,-1.015024245116681954e+02,4.307305374758599648e+00,-7.401453019664270272e+00
7.000000000000000666e-02,2.656188690293042609e-01,-1.019264965319593301e+02,4.284484886654761127e+00,-7.573667523772890320e+00
7.100000000000000755e-02,2.699033539159590434e-01,-1.023604357165067995e+02,4.261687470177739634e+00,-7.743907342983036735e+00
7.200000000000000844e-02,2.741650413861367874e-01,-1.028041289242001000e+02,4.238913123047790776e+00,-7.912172494318692628e+00
7.299999999999999545e-02,2.784039545091845369e-01,-1.032574630149040615e+02,4.216161842987482089e+00,-8.078462994606370629e+00
7.399999999999999634e-02,2.826201163521720461e-01,-1.037203248494476213e+02,4.193433627721685042e+00,-8.242778860475123537e+00
7.499999999999999722e-02,2.868135499798937227e-01,-1.041926012896124973e+02,4.170728474977575928e+00,-8.405120108356538111e+00
7.599999999999999811e-02,2.909842784548712924e-01,-1.046741791981218626e+02,4.148046382484642969e+00,-8.565486754484737730e+00
7.699999999999999900e-02,2.951323248373559083e-01,-1.051649454386290472e+02,4.125387347974673879e+00,-8.723878814896385947e+00
7.799999999999999989e-02,2.992577121853305933e-01,-1.056647868757061985e+02,4.102751369181766528e+00,-8.880296305430691817e+00
7.900000000000000078e-02,3.033604635545123496e-01,-1.061735903748329974e+02,4.080138443842322715e+00,-9.034739241729402792e+00
8.000000000000000167e-02,3.074406019983546567e-01,-1.066912428023853323e+02,4.057548569695050844e+00,-9.187207639236813606e+00
8.100000000000000255e-02,3.114981505680497476e-01,-1.072176310256239589e+02,4.034981744480962362e+00,-9.337701513199760939e+00
8.200000000000000344e-02,3.155331323125307175e-01,-1.077526419126832167e+02,4.012437965943375318e+00,-9.486220878667635859e+00
8.300000000000000433e-02,3.195455702784741336e-01,-1.082961623325597600e+02,3.989917231827911248e+00,-9.632765750492371382e+00
